experiment,case,descriptor,event,detail
initialization_ablation,16,family=condition;seed=0;value=100000000.0,lost_rank,factor Gram matrix is numerically rank deficient
initialization_ablation,17,family=condition;seed=1;value=100000000.0,lost_rank,factor Gram matrix is numerically rank deficient
step_size_phase_diagram,0,eta=1.1437500304036962e-48;family=support_gaussian;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,1,eta=1.1437500304036962e-47;family=support_gaussian;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,2,eta=1.1437500304036962e-46;family=support_gaussian;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,5,eta=1.0;family=support_gaussian;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,6,eta=1.1498165999985675e-96;family=reduced_gaussian;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,7,eta=1.1498165999985674e-95;family=reduced_gaussian;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,8,eta=1.1498165999985673e-94;family=reduced_gaussian;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,11,eta=1.0;family=reduced_gaussian;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,12,eta=4.749642820230516e-21;family=orthonormal;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,13,eta=4.749642820230516e-20;family=orthonormal;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,14,eta=4.749642820230516e-19;family=orthonormal;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,17,eta=1.0;family=orthonormal;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,18,eta=3.683955232453617e-83;family=ill_conditioned;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,19,eta=3.6839552324536165e-82;family=ill_conditioned;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,20,eta=3.6839552324536167e-81;family=ill_conditioned;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,23,eta=1.0;family=ill_conditioned;seed=0;spectrum=well_separated,cycle,
step_size_phase_diagram,24,eta=5.48090417224893e-55;family=support_gaussian;seed=0;spectrum=small_gap,cycle,
step_size_phase_diagram,25,eta=5.48090417224893e-54;family=support_gaussian;seed=0;spectrum=small_gap,cycle,
step_size_phase_diagram,26,eta=5.480904172248929e-53;family=support_gaussian;seed=0;spectrum=small_gap,cycle,
step_size_phase_diagram,30,eta=1.5991517450516493e-95;family=reduced_gaussian;seed=0;spectrum=small_gap,cycle,
step_size_phase_diagram,31,eta=1.599151745051649e-94;family=reduced_gaussian;seed=0;spectrum=small_gap,cycle,
step_size_phase_diagram,32,eta=1.5991517450516491e-93;family=reduced_gaussian;seed=0;spectrum=small_gap,cycle,
step_size_phase_diagram,36,eta=1.244972240260315e-19;family=orthonormal;seed=0;spectrum=small_gap,cycle,
step_size_phase_diagram,37,eta=1.244972240260315e-18;family=orthonormal;seed=0;spectrum=small_gap,cycle,
step_size_phase_diagram,38,eta=1.244972240260315e-17;family=orthonormal;seed=0;spectrum=small_gap,cycle,
step_size_phase_diagram,42,eta=5.206759627944625e-82;family=ill_conditioned;seed=0;spectrum=small_gap,cycle,
step_size_phase_diagram,43,eta=5.206759627944625e-81;family=ill_conditioned;seed=0;spectrum=small_gap,cycle,
step_size_phase_diagram,44,eta=5.2067596279446246e-80;family=ill_conditioned;seed=0;spectrum=small_gap,cycle,
step_size_phase_diagram,48,eta=2.9955249360101553e-27;family=support_gaussian;seed=0;spectrum=ill_conditioned,cycle,
step_size_phase_diagram,49,eta=2.995524936010155e-26;family=support_gaussian;seed=0;spectrum=ill_conditioned,cycle,
step_size_phase_diagram,50,eta=2.995524936010155e-25;family=support_gaussian;seed=0;spectrum=ill_conditioned,cycle,
step_size_phase_diagram,54,eta=1.3760765906225402e-99;family=reduced_gaussian;seed=0;spectrum=ill_conditioned,cycle,
step_size_phase_diagram,55,eta=1.3760765906225401e-98;family=reduced_gaussian;seed=0;spectrum=ill_conditioned,cycle,
step_size_phase_diagram,56,eta=1.37607659062254e-97;family=reduced_gaussian;seed=0;spectrum=ill_conditioned,cycle,
step_size_phase_diagram,60,eta=1.5896310552691353e-24;family=orthonormal;seed=0;spectrum=ill_conditioned,cycle,
step_size_phase_diagram,61,eta=1.5896310552691353e-23;family=orthonormal;seed=0;spectrum=ill_conditioned,cycle,
step_size_phase_diagram,62,eta=1.5896310552691352e-22;family=orthonormal;seed=0;spectrum=ill_conditioned,cycle,
step_size_phase_diagram,66,eta=4.239740355955702e-86;family=ill_conditioned;seed=0;spectrum=ill_conditioned,cycle,
step_size_phase_diagram,67,eta=4.239740355955701e-85;family=ill_conditioned;seed=0;spectrum=ill_conditioned,cycle,
step_size_phase_diagram,68,eta=4.239740355955701e-84;family=ill_conditioned;seed=0;spectrum=ill_conditioned,cycle,
