experiment,case,descriptor,fit,predicted,points,window_first,window_last,rho_ratio,rho_slope,valid
boundary_gap_scaling,0,k=1;eta=0.5;delta=0.01;family=local_normal;seed=0,rate_fit,0.995,102,19,120,0.9949997067451477,0.9948379228323924,True
boundary_gap_scaling,1,k=1;eta=0.5;delta=0.01;family=local_normal;seed=1,rate_fit,0.995,104,17,120,0.9949999451637268,0.9949686089457126,True
boundary_gap_scaling,2,k=1;eta=0.5;delta=0.01;family=support_gaussian;seed=0,rate_fit,0.995,0,,,,,False
boundary_gap_scaling,3,k=1;eta=0.5;delta=0.01;family=support_gaussian;seed=1,rate_fit,0.995,0,,,,,False
boundary_gap_scaling,4,k=1;eta=0.5;delta=0.1;family=local_normal;seed=0,rate_fit,0.95,112,9,120,0.9499983787536621,0.9489623009123385,True
boundary_gap_scaling,5,k=1;eta=0.5;delta=0.1;family=local_normal;seed=1,rate_fit,0.95,115,6,120,0.9499996900558472,0.9496407268903577,True
boundary_gap_scaling,6,k=1;eta=0.5;delta=0.1;family=support_gaussian;seed=0,rate_fit,0.95,22,99,120,0.949999988079071,0.9500000124857849,True
boundary_gap_scaling,7,k=1;eta=0.5;delta=0.1;family=support_gaussian;seed=1,rate_fit,0.95,0,,,,,False
boundary_gap_scaling,8,k=1;eta=0.5;delta=0.5;family=local_normal;seed=0,rate_fit,0.75,27,3,29,0.7245535254478455,0.7232462213756682,True
boundary_gap_scaling,9,k=1;eta=0.5;delta=0.5;family=local_normal;seed=1,rate_fit,0.75,27,3,29,0.742874026298523,0.7323362853330677,True
boundary_gap_scaling,10,k=1;eta=0.5;delta=0.5;family=support_gaussian;seed=0,rate_fit,0.75,29,18,46,0.7461111545562744,0.7450540952859674,True
boundary_gap_scaling,11,k=1;eta=0.5;delta=0.5;family=support_gaussian;seed=1,rate_fit,0.75,30,24,53,0.7498615980148315,0.7497927956447069,True
initialization_ablation,0,family=support_gaussian;seed=0;value=1.0,rate_fit,,28,53,80,0.8999660611152649,0.8999553108486164,True
initialization_ablation,1,family=support_gaussian;seed=1;value=1.0,rate_fit,,22,59,80,0.8998429179191589,0.8998150211153652,True
initialization_ablation,2,family=reduced_gaussian;seed=0;value=1.0,rate_fit,,27,54,80,0.8999595642089844,0.8999508115829037,True
initialization_ablation,3,family=reduced_gaussian;seed=1;value=1.0,rate_fit,,22,59,80,0.8997727036476135,0.8997325054629528,True
initialization_ablation,4,family=orthonormal;seed=0;value=1.0,rate_fit,,27,54,80,0.8999750018119812,0.899969595023953,True
initialization_ablation,5,family=orthonormal;seed=1;value=1.0,rate_fit,,20,61,80,0.8999564051628113,0.8999500035435404,True
initialization_ablation,6,family=scale;seed=0;value=0.01,rate_fit,,24,57,80,0.8999727964401245,0.8999666079241992,True
initialization_ablation,7,family=scale;seed=1;value=0.01,rate_fit,,15,66,80,0.8999792337417603,0.8999788604805604,True
initialization_ablation,8,family=scale;seed=0;value=1,rate_fit,,27,54,80,0.8999595642089844,0.8999508115829037,True
initialization_ablation,9,family=scale;seed=1;value=1,rate_fit,,22,59,80,0.8997727036476135,0.8997325054629528,True
initialization_ablation,10,family=scale;seed=0;value=100.0,rate_fit,,20,61,80,0.8999438881874084,0.8999351969022521,True
initialization_ablation,11,family=scale;seed=1;value=100.0,rate_fit,,15,66,80,0.8996400237083435,0.8996339967042605,True
initialization_ablation,12,family=condition;seed=0;value=1,rate_fit,,25,56,80,0.8999729156494141,0.8999682169129793,True
initialization_ablation,13,family=condition;seed=1;value=1,rate_fit,,18,63,80,0.899944007396698,0.8999374697139758,True
initialization_ablation,14,family=condition;seed=0;value=10000.0,rate_fit,,23,58,80,0.8998920917510986,0.8998781477788765,True
initialization_ablation,15,family=condition;seed=1;value=10000.0,rate_fit,,18,63,80,0.8999781608581543,0.899975455108335,True
initialization_ablation,16,family=condition;seed=0;value=100000000.0,rate_fit,,0,,,,,False
initialization_ablation,17,family=condition;seed=1;value=100000000.0,rate_fit,,0,,,,,False
initialization_ablation,18,family=overlap;seed=0;value=1e-08,rate_fit,,0,,,,,False
initialization_ablation,19,family=overlap;seed=1;value=1e-08,rate_fit,,0,,,,,False
initialization_ablation,20,family=overlap;seed=0;value=0.0001,rate_fit,,0,,,,,False
initialization_ablation,21,family=overlap;seed=1;value=0.0001,rate_fit,,0,,,,,False
initialization_ablation,22,family=overlap;seed=0;value=1.0,rate_fit,,0,,,,,False
initialization_ablation,23,family=overlap;seed=1;value=1.0,rate_fit,,0,,,,,False
initialization_ablation,24,family=near_saddle;seed=0;value=1e-08,rate_fit,,0,,,,,False
initialization_ablation,25,family=near_saddle;seed=1;value=1e-08,rate_fit,,0,,,,,False
initialization_ablation,26,family=near_saddle;seed=0;value=0.0001,rate_fit,,0,,,,,False
initialization_ablation,27,family=near_saddle;seed=1;value=0.0001,rate_fit,,0,,,,,False
initialization_ablation,28,family=ambient_vs_support;seed=0;value=0.0,rate_fit,,27,54,80,0.8999595642089844,0.8999508115829037,True
initialization_ablation,29,family=ambient_vs_support;seed=1;value=0.0,rate_fit,,22,59,80,0.8997727036476135,0.8997325054629528,True
initialization_ablation,30,family=ambient_vs_support;seed=0;value=1.0,rate_fit,,27,54,80,0.8999595642089844,0.8999508115829037,True
initialization_ablation,31,family=ambient_vs_support;seed=1;value=1.0,rate_fit,,22,59,80,0.8997727036476135,0.8997325054629528,True
predicted_local_rates,0,k=1;eta=0.25;seed=0,factor_fit,0.925,71,10,80,0.9184435606002808,0.9157968028268082,True
predicted_local_rates,0,k=1;eta=0.25;seed=0,objective_fit,0.8556250000000001,34,0,33,0.7930598258972168,0.7844776645066759,True
predicted_local_rates,1,k=1;eta=0.25;seed=1,factor_fit,0.925,73,8,80,0.9239177703857422,0.9205179962616946,True
predicted_local_rates,1,k=1;eta=0.25;seed=1,objective_fit,0.8556250000000001,32,0,31,0.7674682140350342,0.7609723566317208,True
predicted_local_rates,2,k=1;eta=0.5;seed=0,factor_fit,0.85,46,5,50,0.8459670543670654,0.8394746940270749,True
predicted_local_rates,2,k=1;eta=0.5;seed=0,objective_fit,0.7224999999999999,17,0,16,0.6129184365272522,0.6015875694696214,True
predicted_local_rates,3,k=1;eta=0.5;seed=1,factor_fit,0.85,48,4,51,0.8494589924812317,0.8458020594761253,True
predicted_local_rates,3,k=1;eta=0.5;seed=1,objective_fit,0.7224999999999999,16,0,15,0.595975399017334,0.570103265054124,True
predicted_local_rates,4,k=1;eta=0.8695652173913044;seed=0,factor_fit,0.7391304347826089,25,3,27,0.7345857620239258,0.7252795871542361,True
predicted_local_rates,4,k=1;eta=0.8695652173913044;seed=0,objective_fit,0.5463137996219284,9,0,8,,,False
predicted_local_rates,5,k=1;eta=0.8695652173913044;seed=1,factor_fit,0.7391304347826089,26,2,27,0.7385269403457642,0.7335380758635797,True
predicted_local_rates,5,k=1;eta=0.8695652173913044;seed=1,objective_fit,0.5463137996219284,9,0,8,,,False
predicted_local_rates,6,k=4;eta=0.25;seed=0,factor_fit,0.925,73,8,80,0.9214951395988464,0.9170786066446948,True
predicted_local_rates,6,k=4;eta=0.25;seed=0,objective_fit,0.8556250000000001,31,0,30,0.753896176815033,0.7457064726169145,True
predicted_local_rates,7,k=4;eta=0.25;seed=1,factor_fit,0.925,70,11,80,0.9236911535263062,0.9213634475726772,True
predicted_local_rates,7,k=4;eta=0.25;seed=1,objective_fit,0.8556250000000001,38,0,37,0.7878653407096863,0.7759511880138018,True
predicted_local_rates,8,k=4;eta=0.5;seed=0,factor_fit,0.85,46,4,49,0.8482603430747986,0.8412544586203984,True
predicted_local_rates,8,k=4;eta=0.5;seed=0,objective_fit,0.7224999999999999,15,0,14,0.5541054606437683,0.5388266683243366,True
predicted_local_rates,9,k=4;eta=0.5;seed=1,factor_fit,0.85,49,5,53,0.8493717312812805,0.8464671414266492,True
predicted_local_rates,9,k=4;eta=0.5;seed=1,objective_fit,0.7224999999999999,18,0,17,0.6134616732597351,0.5857692280110003,True
predicted_local_rates,10,k=4;eta=0.8695652173913044;seed=0,factor_fit,0.7391304347826089,26,2,27,0.7377110123634338,0.7273772660136548,True
predicted_local_rates,10,k=4;eta=0.8695652173913044;seed=0,objective_fit,0.5463137996219284,8,0,7,,,False
predicted_local_rates,11,k=4;eta=0.8695652173913044;seed=1,factor_fit,0.7391304347826089,27,3,29,0.738556981086731,0.7353334629358488,True
predicted_local_rates,11,k=4;eta=0.8695652173913044;seed=1,objective_fit,0.5463137996219284,10,0,9,0.4358256161212921,0.3739083458030294,True
step_size_phase_diagram,0,eta=2.926523184145244e-55;family=support_gaussian;seed=0;spectrum=well_separated,late_rate_fit,,0,,,,,False
step_size_phase_diagram,1,eta=2.9265231841452437e-54;family=support_gaussian;seed=0;spectrum=well_separated,late_rate_fit,,0,,,,,False
step_size_phase_diagram,2,eta=2.9265231841452436e-53;family=support_gaussian;seed=0;spectrum=well_separated,late_rate_fit,,0,,,,,False
step_size_phase_diagram,3,eta=0.5;family=support_gaussian;seed=0;spectrum=well_separated,late_rate_fit,,28,20,47,0.7367781400680542,0.7346268590143604,True
step_size_phase_diagram,4,eta=0.8;family=support_gaussian;seed=0;spectrum=well_separated,late_rate_fit,,20,14,33,0.5999096632003784,0.5998426070162854,True
step_size_phase_diagram,5,eta=1.0;family=support_gaussian;seed=0;spectrum=well_separated,late_rate_fit,,0,,,,,False
step_size_phase_diagram,6,eta=1.554353450998572e-95;family=reduced_gaussian;seed=0;spectrum=well_separated,late_rate_fit,,0,,,,,False
step_size_phase_diagram,7,eta=1.554353450998572e-94;family=reduced_gaussian;seed=0;spectrum=well_separated,late_rate_fit,,0,,,,,False
step_size_phase_diagram,8,eta=1.554353450998572e-93;family=reduced_gaussian;seed=0;spectrum=well_separated,late_rate_fit,,0,,,,,False
step_size_phase_diagram,9,eta=0.5;family=reduced_gaussian;seed=0;spectrum=well_separated,late_rate_fit,,29,21,49,0.7377486228942871,0.7360253394619315,True
step_size_phase_diagram,10,eta=0.8;family=reduced_gaussian;seed=0;spectrum=well_separated,late_rate_fit,,19,14,32,0.5996513962745667,0.5994767842569013,True
step_size_phase_diagram,11,eta=1.0;family=reduced_gaussian;seed=0;spectrum=well_separated,late_rate_fit,,0,,,,,False
step_size_phase_diagram,12,eta=1.201171672788452e-19;family=orthonormal;seed=0;spectrum=well_separated,late_rate_fit,,0,,,,,False
step_size_phase_diagram,13,eta=1.201171672788452e-18;family=orthonormal;seed=0;spectrum=well_separated,late_rate_fit,,0,,,,,False
step_size_phase_diagram,14,eta=1.201171672788452e-17;family=orthonormal;seed=0;spectrum=well_separated,late_rate_fit,,0,,,,,False
