experiment,case,descriptor,records,termination
boundary_gap_scaling,0,k=1;eta=0.5;delta=0.01;family=local_normal;seed=0,121,max_steps
boundary_gap_scaling,1,k=1;eta=0.5;delta=0.01;family=local_normal;seed=1,121,max_steps
boundary_gap_scaling,2,k=1;eta=0.5;delta=0.01;family=support_gaussian;seed=0,121,max_steps
boundary_gap_scaling,3,k=1;eta=0.5;delta=0.01;family=support_gaussian;seed=1,121,max_steps
boundary_gap_scaling,4,k=1;eta=0.5;delta=0.1;family=local_normal;seed=0,121,max_steps
boundary_gap_scaling,5,k=1;eta=0.5;delta=0.1;family=local_normal;seed=1,121,max_steps
boundary_gap_scaling,6,k=1;eta=0.5;delta=0.1;family=support_gaussian;seed=0,121,max_steps
boundary_gap_scaling,7,k=1;eta=0.5;delta=0.1;family=support_gaussian;seed=1,121,max_steps
boundary_gap_scaling,8,k=1;eta=0.5;delta=0.5;family=local_normal;seed=0,30,converged
boundary_gap_scaling,9,k=1;eta=0.5;delta=0.5;family=local_normal;seed=1,30,converged
boundary_gap_scaling,10,k=1;eta=0.5;delta=0.5;family=support_gaussian;seed=0,47,converged
boundary_gap_scaling,11,k=1;eta=0.5;delta=0.5;family=support_gaussian;seed=1,54,converged
initialization_ablation,0,family=support_gaussian;seed=0;value=1.0,81,max_steps
initialization_ablation,1,family=support_gaussian;seed=1;value=1.0,81,max_steps
initialization_ablation,2,family=reduced_gaussian;seed=0;value=1.0,81,max_steps
initialization_ablation,3,family=reduced_gaussian;seed=1;value=1.0,81,max_steps
initialization_ablation,4,family=orthonormal;seed=0;value=1.0,81,max_steps
initialization_ablation,5,family=orthonormal;seed=1;value=1.0,81,max_steps
initialization_ablation,6,family=scale;seed=0;value=0.01,81,max_steps
initialization_ablation,7,family=scale;seed=1;value=0.01,81,max_steps
initialization_ablation,8,family=scale;seed=0;value=1,81,max_steps
initialization_ablation,9,family=scale;seed=1;value=1,81,max_steps
initialization_ablation,10,family=scale;seed=0;value=100.0,81,max_steps
initialization_ablation,11,family=scale;seed=1;value=100.0,81,max_steps
initialization_ablation,12,family=condition;seed=0;value=1,81,max_steps
initialization_ablation,13,family=condition;seed=1;value=1,81,max_steps
initialization_ablation,14,family=condition;seed=0;value=10000.0,81,max_steps
initialization_ablation,15,family=condition;seed=1;value=10000.0,81,max_steps
initialization_ablation,16,family=condition;seed=0;value=100000000.0,0,lost_rank
initialization_ablation,17,family=condition;seed=1;value=100000000.0,0,lost_rank
initialization_ablation,18,family=overlap;seed=0;value=1e-08,81,max_steps
initialization_ablation,19,family=overlap;seed=1;value=1e-08,81,max_steps
initialization_ablation,20,family=overlap;seed=0;value=0.0001,81,max_steps
initialization_ablation,21,family=overlap;seed=1;value=0.0001,81,max_steps
initialization_ablation,22,family=overlap;seed=0;value=1.0,1,converged
initialization_ablation,23,family=overlap;seed=1;value=1.0,1,converged
initialization_ablation,24,family=near_saddle;seed=0;value=1e-08,81,max_steps
initialization_ablation,25,family=near_saddle;seed=1;value=1e-08,81,max_steps
initialization_ablation,26,family=near_saddle;seed=0;value=0.0001,81,max_steps
initialization_ablation,27,family=near_saddle;seed=1;value=0.0001,81,max_steps
initialization_ablation,28,family=ambient_vs_support;seed=0;value=0.0,81,max_steps
initialization_ablation,29,family=ambient_vs_support;seed=1;value=0.0,81,max_steps
initialization_ablation,30,family=ambient_vs_support;seed=0;value=1.0,81,max_steps
initialization_ablation,31,family=ambient_vs_support;seed=1;value=1.0,81,max_steps
initialization_ablation,certified_0,certified_subset;family=support_gaussian;seed=0;eta=1.617448585925134e-58,1,underflow
initialization_ablation,certified_1,certified_subset;family=reduced_gaussian;seed=0;eta=2.514456959296165e-94,1,underflow
initialization_ablation,certified_2,certified_subset;family=orthonormal;seed=0;eta=2.670261192184019e-18,1,stagnated
predicted_local_rates,0,k=1;eta=0.25;seed=0,81,max_steps
predicted_local_rates,1,k=1;eta=0.25;seed=1,81,max_steps
predicted_local_rates,2,k=1;eta=0.5;seed=0,51,converged
predicted_local_rates,3,k=1;eta=0.5;seed=1,52,converged
predicted_local_rates,4,k=1;eta=0.8695652173913044;seed=0,28,converged
predicted_local_rates,5,k=1;eta=0.8695652173913044;seed=1,28,converged
predicted_local_rates,6,k=4;eta=0.25;seed=0,81,max_steps
predicted_local_rates,7,k=4;eta=0.25;seed=1,81,max_steps
predicted_local_rates,8,k=4;eta=0.5;seed=0,50,converged
predicted_local_rates,9,k=4;eta=0.5;seed=1,54,converged
predicted_local_rates,10,k=4;eta=0.8695652173913044;seed=0,28,converged
predicted_local_rates,11,k=4;eta=0.8695652173913044;seed=1,30,converged
saddle_escape,0,eta=0.5,0,not_applicable
saddle_escape,1,eta=0.5,0,not_applicable
saddle_escape,2,eta=0.5,0,not_applicable
saddle_escape,3,eta=0.5,0,not_applicable
step_size_phase_diagram,0,eta=2.926523184145244e-55;family=support_gaussian;seed=0;spectrum=well_separated,1,underflow
step_size_phase_diagram,1,eta=2.9265231841452437e-54;family=support_gaussian;seed=0;spectrum=well_separated,1,underflow
step_size_phase_diagram,2,eta=2.9265231841452436e-53;family=support_gaussian;seed=0;spectrum=well_separated,1,underflow
step_size_phase_diagram,3,eta=0.5;family=support_gaussian;seed=0;spectrum=well_separated,48,converged
step_size_phase_diagram,4,eta=0.8;family=support_gaussian;seed=0;spectrum=well_separated,34,converged
step_size_phase_diagram,5,eta=1.0;family=support_gaussian;seed=0;spectrum=well_separated,38,cycle
step_size_phase_diagram,6,eta=1.554353450998572e-95;family=reduced_gaussian;seed=0;spectrum=well_separated,1,underflow
step_size_phase_diagram,7,eta=1.554353450998572e-94;family=reduced_gaussian;seed=0;spectrum=well_separated,1,underflow
step_size_phase_diagram,8,eta=1.554353450998572e-93;family=reduced_gaussian;seed=0;spectrum=well_separated,1,underflow
